date,changeOfIncidence,outOfHomeDuration
2020-05-17,0.6764380530973451,5.7700000000000005
2020-05-24,0.9795584627964021,5.8500000000000005
2020-05-31,0.8305509181969948,6.44
2020-06-07,1.2783919597989954,6.28
2020-06-14,1.3718553459119498,6.92
2020-06-21,1.6383954154727784,7.26
2020-06-28,0.9164043371808336,7.33
2020-07-05,0.6305343511450376,6.8500000000000005
2020-07-12,0.8317191283292977,6.71
2020-07-19,0.6550218340611356,6.94
2020-07-26,1.3599999999999997,6.88
2020-08-02,1.6437908496732025,6.97
2020-08-09,1.151590457256461,7.15
2020-08-16,1.4311609840310726,7.22
2020-08-23,0.9071170084439094,7.15
2020-08-30,0.984042553191489,7.31
2020-09-06,1.0986486486486506,7.23
2020-09-13,1.0830258302583007,7.73
2020-09-20,1.3427030096536077,7.91
2020-09-27,1.4041023472192837,7.3
2020-10-04,1.3225903614457837,7.25
2020-10-11,1.596080966969638,7.11
2020-10-18,1.472822312528102,6.34
2020-10-25,1.422096877937757,6.37
2020-11-01,1.342808433651102,6.37
2020-11-08,1.1625080969037447,6.22
2020-11-15,1.1106826843782738,6.29
2020-11-22,1.0838400256857912,5.84
2020-11-29,0.9081668548999269,5.84
2020-12-06,0.8894212146541348,6.5600000000000005
2020-12-13,1.0672060879730452,6.4
2020-12-20,1.0534805300801127,5.57
2020-12-27,0.9181023058574096,4.68
